proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code
N,31,7,N,Aberdeen,RT,London (Heathrow),Heathrow,61,60.02,London,ABZ,Aberdeen,ABZ,LHR,M,EUK,Aberdeen,GBP
N,217,7,N,Abu Dhabi,RT,London (Heathrow),Heathrow,433,432.79,London,AUH,Abu Dhabi,AUH,LHR,M,MDE,Abu Dhabi,GBP
N,345,7,N,Abuja,RT,London (Heathrow),Heathrow,689,688.59,London,ABV,Abuja,ABV,LHR,M,AFR,Abuja,GBP
N,277,7,N,Accra,RT,London (Gatwick),Gatwick,553,552.08,London,ACC,Accra,ACC,LGW,M,AFR,Accra,GBP
N,48,7,N,Agadir,RT,London (Gatwick),Gatwick,95,94.58,London,AGA,Agadir,AGA,LGW,M,AFR,Al Massira,GBP
N,103,7,N,Algiers,RT,London (Gatwick),Gatwick,206,205.68,London,ALG,Algiers,ALG,LGW,M,AFR,Algiers,GBP
N,39,7,N,Alicante,RT,London (Gatwick),Gatwick,77,76.18,London,ALC,Alicante,ALC,LGW,M,EUK,Alicante,GBP
N,183,7,N,Amman,RT,London (Heathrow),Heathrow,365,364.59,London,AMM,Amman,AMM,LHR,M,MDE,Amman,GBP
N,55,7,N,Amsterdam,RT,London (Heathrow),Heathrow,109,108.69,London,AMS,Amsterdam,AMS,LHR,M,EUK,Amsterdam,GBP
N,92,7,N,Antalya,RT,London (Gatwick),Gatwick,184,183.38,London,AYT,Antalya,AYT,LGW,M,EUK,Antalya,GBP
N,229,7,N,Antigua,RT,London (Gatwick),Gatwick,457,456.18,London,ANU,Antigua,ANU,LGW,M,SOA,Antigua,GBP
N,249,7,N,Aruba,RT,London (Gatwick),Gatwick,497,496.88,London,AUA,Aruba,AUA,LGW,M,SOA,Aruba,GBP
N,53,7,N,Athens,RT,London (Heathrow),Heathrow,106,105.99,London,ATH,Athens,ATH,LHR,M,EUK,Athens,GBP
N,307,7,N,Atlanta,RT,London (Heathrow),Heathrow,613,612.09,London,ATL,Atlanta (Hartsfield-Jackson Int),ATL,LHR,M,NOA,Hartsfield-Jackson Int,GBP
N,278,7,N,Austin,RT,London (Heathrow),Heathrow,555,554.09,London,AUS,Austin,AUS,LHR,M,NOA,Austin-Bergstrom Intl,GBP
N,283,7,N,Bahrain,RT,London (Heathrow),Heathrow,566,565.19,London,BAH,Bahrain,BAH,LHR,M,MDE,Bahrain,GBP
N,336,7,N,Bangkok,RT,London (Gatwick),Gatwick,672,671.58,London,BKK,Bangkok,BKK,LGW,M,FEA,Bangkok,GBP
N,35,7,N,Barcelona,RT,London (Heathrow),Heathrow,69,68.09,London,BCN,Barcelona,BCN,LHR,M,EUK,Barcelona,GBP
N,81,7,N,Bari,RT,London (Gatwick),Gatwick,162,161.98,London,BRI,Bari,BRI,LGW,M,EUK,Bari,GBP
N,36,7,N,Basel,RT,London (Heathrow),Heathrow,71,70.59,London,BSL,Basel,BSL,LHR,M,EUK,Basel,GBP
N,224,7,N,Beijing,RT,London (Heathrow),Heathrow,448,447.49,London,PKX,Beijing (Beijing Daxing Intl),BJS,LHR,M,FEA,Beijing Daxing Intl,GBP
N,37,7,N,Belfast,RT,London (Heathrow),Heathrow,73,72.16,London,BHD,Belfast (Belfast City Airport),BFS,LHR,M,EUK,Belfast City Airport,GBP
N,104,7,N,Belgrade,RT,London (Heathrow),Heathrow,207,206.09,London,BEG,Belgrade,BEG,LHR,M,EUK,Belgrade,GBP
N,243,7,N,Bengaluru,RT,London (Heathrow),Heathrow,485,484.79,London,BLR,Bengaluru,BLR,LHR,M,SAS,Bangalore,GBP
N,65,7,N,Bergerac,RT,London (City Airport),City Airport,130,129.89,London,EGC,Bergerac,EGC,LCY,M,EUK,Bergerac,GBP
N,45,7,N,Berlin,RT,London (Heathrow),Heathrow,90,89.39,London,BER,Berlin (Brandenburg),BER,LHR,M,EUK,Brandenburg,GBP
N,353,7,N,Bermuda,RT,London (Heathrow),Heathrow,706,705.19,London,BDA,Bermuda,BDA,LHR,M,SOA,Bermuda,GBP
N,58,7,N,Bilbao,RT,London (Gatwick),Gatwick,115,114.48,London,BIO,Bilbao,BIO,LGW,M,EUK,Bilbao,GBP
N,37,7,N,Billund,RT,London (Heathrow),Heathrow,73,72.69,London,BLL,Billund,BLL,LHR,M,EUK,Billund,GBP
