proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code,tier_points,tier_points_per_pound
N,31,7,N,Aberdeen,RT,London (Heathrow),Heathrow,61,60.02,London,ABZ,Aberdeen,ABZ,LHR,M,EUK,Aberdeen,GBP,5.0,0.17
N,189,7,Y,Abu Dhabi,RT,London (Heathrow),Heathrow,378,377.49,London,AUH,Abu Dhabi,AUH,LHR,M,MDE,Abu Dhabi,GBP,20.0,0.11
N,344,7,N,Abuja,RT,London (Heathrow),Heathrow,688,687.59,London,ABV,Abuja,ABV,LHR,M,AFR,Abuja,GBP,20.0,0.06
N,276,7,N,Accra,RT,London (Gatwick),Gatwick,552,551.08,London,ACC,Accra,ACC,LGW,M,AFR,Accra,GBP,20.0,0.07
N,48,7,N,Agadir,RT,London (Gatwick),Gatwick,95,94.48,London,AGA,Agadir,AGA,LGW,M,AFR,Al Massira,GBP,10.0,0.21
N,96,7,N,Algiers,RT,London (Gatwick),Gatwick,192,191.58,London,ALG,Algiers,ALG,LGW,M,AFR,Algiers,GBP,10.0,0.1
N,39,7,N,Alicante,RT,London (Gatwick),Gatwick,77,76.18,London,ALC,Alicante,ALC,LGW,M,EUK,Alicante,GBP,5.0,0.13
N,182,7,N,Amman,RT,London (Heathrow),Heathrow,364,363.99,London,AMM,Amman,AMM,LHR,M,MDE,Amman,GBP,10.0,0.05
N,55,7,N,Amsterdam,RT,London (Heathrow),Heathrow,109,108.29,London,AMS,Amsterdam,AMS,LHR,M,EUK,Amsterdam,GBP,5.0,0.09
N,92,7,N,Antalya,RT,London (Gatwick),Gatwick,184,183.28,London,AYT,Antalya,AYT,LGW,M,EUK,Antalya,GBP,10.0,0.11
N,215,7,N,Antigua,RT,London (Gatwick),Gatwick,429,428.78,London,ANU,Antigua,ANU,LGW,M,SOA,Antigua,GBP,20.0,0.09
N,249,7,N,Aruba,RT,London (Gatwick),Gatwick,497,496.48,London,AUA,Aruba,AUA,LGW,M,SOA,Aruba,GBP,20.0,0.08
N,53,7,N,Athens,RT,London (Heathrow),Heathrow,106,105.79,London,ATH,Athens,ATH,LHR,M,EUK,Athens,GBP,10.0,0.19
N,299,7,N,Atlanta,RT,London (Heathrow),Heathrow,598,597.59,London,ATL,Atlanta (Hartsfield-Jackson Int),ATL,LHR,M,NOA,Hartsfield-Jackson Int,GBP,20.0,0.07
N,222,7,Y,Austin,RT,London (Heathrow),Heathrow,444,443.59,London,AUS,Austin,AUS,LHR,M,NOA,Austin-Bergstrom Intl,GBP,20.0,0.09
N,283,7,N,Bahrain,RT,London (Heathrow),Heathrow,565,564.99,London,BAH,Bahrain,BAH,LHR,M,MDE,Bahrain,GBP,20.0,0.07
N,333,7,N,Bangkok,RT,London (Gatwick),Gatwick,666,665.58,London,BKK,Bangkok,BKK,LGW,M,FEA,Bangkok,GBP,20.0,0.06
N,34,7,N,Barcelona,RT,London (Heathrow),Heathrow,68,67.99,London,BCN,Barcelona,BCN,LHR,M,EUK,Barcelona,GBP,5.0,0.15
N,81,7,N,Bari,RT,London (Gatwick),Gatwick,162,161.88,London,BRI,Bari,BRI,LGW,M,EUK,Bari,GBP,5.0,0.06
N,36,7,N,Basel,RT,London (Heathrow),Heathrow,71,70.59,London,BSL,Basel,BSL,LHR,M,EUK,Basel,GBP,5.0,0.14
N,224,7,N,Beijing,RT,London (Heathrow),Heathrow,448,447.49,London,PKX,Beijing (Beijing Daxing Intl),BJS,LHR,M,FEA,Beijing Daxing Intl,GBP,20.0,0.09
N,37,7,N,Belfast,RT,London (Heathrow),Heathrow,73,72.16,London,BHD,Belfast (Belfast City Airport),BFS,LHR,M,EUK,Belfast City Airport,GBP,5.0,0.14
N,70,7,N,Belgrade,RT,London (Heathrow),Heathrow,140,139.99,London,BEG,Belgrade,BEG,LHR,M,EUK,Belgrade,GBP,5.0,0.07
N,65,7,N,Bergerac,RT,London (City Airport),City Airport,130,129.79,London,EGC,Bergerac,EGC,LCY,M,EUK,Bergerac,GBP,5.0,0.08
N,45,7,N,Berlin,RT,London (Heathrow),Heathrow,90,89.09,London,BER,Berlin (Brandenburg),BER,LHR,M,EUK,Brandenburg,GBP,5.0,0.11
N,353,7,N,Bermuda,RT,London (Heathrow),Heathrow,705,704.19,London,BDA,Bermuda,BDA,LHR,M,SOA,Bermuda,GBP,20.0,0.06
N,37,7,N,Billund,RT,London (Heathrow),Heathrow,73,72.59,London,BLL,Billund,BLL,LHR,M,EUK,Billund,GBP,5.0,0.14
N,97,7,N,Bodrum,RT,London (Heathrow),Heathrow,193,192.09,London,BJV,Bodrum,BJV,LHR,M,EUK,Milas,GBP,10.0,0.1
N,42,7,N,Bologna,RT,London (Heathrow),Heathrow,83,82.19,London,BLQ,Bologna,BLQ,LHR,M,EUK,Bologna,GBP,5.0,0.12
N,37,7,N,Bordeaux,RT,London (Gatwick),Gatwick,74,73.28,London,BOD,Bordeaux,BOD,LGW,M,EUK,Bordeaux,GBP,5.0,0.14
N,187,7,N,Boston,RT,London (Heathrow),Heathrow,373,372.59,London,BOS,Boston,BOS,LHR,M,NOA,Logan International,GBP,20.0,0.11
N,63,7,N,Brindisi,RT,London (Heathrow),Heathrow,125,124.69,London,BDS,Brindisi,BDS,LHR,M,EUK,Brindisi,GBP,5.0,0.08
N,44,7,N,Brussels,RT,London (Heathrow),Heathrow,87,86.39,London,BRU,Brussels,BRU,LHR,M,EUK,Brussels,GBP,5.0,0.12
N,48,7,N,Bucharest,RT,London (Heathrow),Heathrow,95,94.79,London,OTP,Bucharest,BUH,LHR,M,EUK,Bucharest,GBP,10.0,0.21
N,50,7,N,Budapest,RT,London (Heathrow),Heathrow,100,99.59,London,BUD,Budapest,BUD,LHR,M,EUK,Budapest,GBP,5.0,0.1
N,399,7,N,Buenos Aires,RT,London (Heathrow),Heathrow,798,797.79,London,EZE,Buenos Aires,BUE,LHR,M,SOA,Buenos Aires,GBP,20.0,0.05
N,159,7,N,Cairo,RT,London (Heathrow),Heathrow,318,317.89,London,CAI,Cairo,CAI,LHR,M,AFR,Cairo,GBP,10.0,0.06
N,223,7,Y,Cancun,RT,London (Gatwick),Gatwick,446,445.88,London,CUN,Cancun,CUN,LGW,M,SOA,Cancun International,GBP,20.0,0.09
Y,427,7,N,Cape Town,RT,London (Gatwick),Gatwick,853,852.98,London,CPT,Cape Town,CPT,LGW,M,AFR,Cape Town,GBP,20.0,0.05
N,73,7,N,Catania,RT,London (Gatwick),Gatwick,146,145.98,London,CTA,Catania,CTA,LGW,M,EUK,Catania,GBP,10.0,0.14
N,62,7,N,Chambery,RT,London (City Airport),City Airport,123,122.49,London,CMF,Chambery,CMF,LCY,M,EUK,Chambery,GBP,5.0,0.08
N,87,7,N,Chania,RT,London (Heathrow),Heathrow,173,172.09,London,CHQ,Chania,CHQ,LHR,M,EUK,Chania,GBP,10.0,0.12
N,267,7,N,Chennai,RT,London (Heathrow),Heathrow,533,532.09,London,MAA,Chennai,MAA,LHR,M,SAS,Chennai,GBP,20.0,0.08
N,222,7,N,Chicago,RT,London (Heathrow),Heathrow,444,443.59,London,ORD,Chicago (O'Hare International),CHI,LHR,M,NOA,O'Hare International,GBP,20.0,0.09
N,237,7,Y,Cincinnati,RT,London (Heathrow),Heathrow,474,473.59,London,CVG,Cincinnati (Cincinnati/N Kentucky International),CVG,LHR,M,NOA,Cincinnati/N Kentucky International,GBP,20.0,0.08
N,46,7,N,Cologne,RT,London (Heathrow),Heathrow,91,90.39,London,CGN,Cologne (Cologne/Bonn),CGN,LHR,M,EUK,Cologne/Bonn,GBP,5.0,0.11
N,40,7,N,Copenhagen,RT,London (Heathrow),Heathrow,79,78.09,London,CPH,Copenhagen,CPH,LHR,M,EUK,Copenhagen,GBP,5.0,0.13
N,64,7,N,Corfu,RT,London (Heathrow),Heathrow,128,127.69,London,CFU,Corfu,CFU,LHR,M,EUK,Ioannis Kapodistrias,GBP,10.0,0.16
N,88,7,N,Dalaman,RT,London (Gatwick),Gatwick,175,174.28,London,DLM,Dalaman,DLM,LGW,M,EUK,Dalaman,GBP,10.0,0.11
N,302,7,N,Dallas,RT,London (Heathrow),Heathrow,603,602.04,London,DFW,Dallas (Dallas Ft Worth),DFW,LHR,M,NOA,Dallas Ft Worth,GBP,20.0,0.07
N,247,7,Y,Denver,RT,London (Heathrow),Heathrow,494,493.59,London,DEN,Denver (Denver International),DEN,LHR,M,NOA,Denver International,GBP,20.0,0.08
N,218,7,Y,Doha,RT,London (Heathrow),Heathrow,436,435.99,London,DOH,Doha,DOH,LHR,M,MDE,Doha,GBP,20.0,0.09
N,214,7,Y,Dubai,RT,London (Heathrow),Heathrow,427,426.59,London,DXB,Dubai,DXB,LHR,M,MDE,Dubai,GBP,20.0,0.09
N,26,7,N,Dublin,RT,London (Heathrow),Heathrow,52,51.14,London,DUB,Dublin,DUB,LHR,M,EUK,Dublin,GBP,5.0,0.2
N,66,7,N,Dubrovnik,RT,London (Gatwick),Gatwick,131,130.68,London,DBV,Dubrovnik,DBV,LGW,M,EUK,Dubrovnik,GBP,5.0,0.08
N,48,7,N,Dusseldorf,RT,London (Heathrow),Heathrow,95,94.39,London,DUS,Dusseldorf,DUS,LHR,M,EUK,Dusseldorf,GBP,5.0,0.11
N,33,7,N,Edinburgh,RT,London (Heathrow),Heathrow,66,65.41,London,EDI,Edinburgh,EDI,LHR,M,EUK,Edinburgh,GBP,5.0,0.15
N,43,7,N,Faro,RT,London (Gatwick),Gatwick,86,85.08,London,FAO,Faro,FAO,LGW,M,EUK,Faro,GBP,5.0,0.12
Y,53,7,N,Florence,RT,London (Stansted),Stansted,106,105.56,London,FLR,Florence,FLR,STN,M,EUK,Peretola,GBP,5.0,0.09
N,52,7,N,Frankfurt,RT,London (Heathrow),Heathrow,104,103.59,London,FRA,Frankfurt,FRA,LHR,M,EUK,Frankfurt,GBP,5.0,0.1
N,58,7,N,Fuerteventura,RT,London (Gatwick),Gatwick,116,115.48,London,FUE,Fuerteventura,FUE,LGW,M,EUK,Fuerteventura,GBP,10.0,0.17
N,74,7,N,Funchal,RT,London (Gatwick),Gatwick,147,146.28,London,FNC,Funchal,FNC,LGW,M,EUK,Madeira,GBP,10.0,0.14
N,44,7,N,Geneva,RT,London (Gatwick),Gatwick,87,86.88,London,GVA,Geneva,GVA,LGW,M,EUK,Geneva,GBP,5.0,0.12
N,225,7,Y,Georgetown,RT,London (Gatwick),Gatwick,449,448.48,London,GEO,Georgetown,GEO,LGW,M,SOA,Georgetown,GBP,20.0,0.09
N,37,7,N,Gibraltar,RT,London (Heathrow),Heathrow,74,73.99,London,GIB,Gibraltar,GIB,LHR,M,EUK,Gibraltar,GBP,5.0,0.14
N,31,7,N,Glasgow,RT,London (Heathrow),Heathrow,62,61.42,London,GLA,Glasgow,GLA,LHR,M,EUK,Glasgow,GBP,5.0,0.16
N,42,7,N,Gothenburg,RT,London (Heathrow),Heathrow,83,82.99,London,GOT,Gothenburg,GOT,LHR,M,EUK,Gothenburg,GBP,5.0,0.12
N,60,7,N,Gran Canaria,RT,London (Gatwick),Gatwick,119,118.18,London,LPA,Gran Canaria,LPA,LGW,M,EUK,Gran Canaria,GBP,10.0,0.17
N,370,7,Y,Grand Cayman,RT,London (Heathrow),Heathrow,739,738.59,London,GCM,Grand Cayman,GCM,LHR,M,SOA,Grand Cayman,GBP,20.0,0.05
N,215,7,Y,Grenada,RT,London (Gatwick),Gatwick,429,428.28,London,GND,Grenada,GND,LGW,M,SOA,Grenada,GBP,20.0,0.09
N,42,7,N,Hamburg,RT,London (Heathrow),Heathrow,84,83.79,London,HAM,Hamburg,HAM,LHR,M,EUK,Hamburg,GBP,5.0,0.12
N,48,7,N,Hannover,RT,London (Heathrow),Heathrow,96,95.59,London,HAJ,Hannover (Hannover),HAJ,LHR,M,EUK,Hannover,GBP,5.0,0.1
N,272,7,N,Hong Kong,RT,London (Heathrow),Heathrow,544,543.29,London,HKG,Hong Kong,HKG,LHR,M,FEA,Hong Kong,GBP,20.0,0.07
N,292,7,N,Houston,RT,London (Heathrow),Heathrow,584,583.79,London,IAH,Houston (George Bush Intercont),HOU,LHR,M,NOA,George Bush Intercont,GBP,20.0,0.07
N,232,7,N,Hyderabad,RT,London (Heathrow),Heathrow,464,463.59,London,HYD,Hyderabad,HYD,LHR,M,SAS,Rajiv Gandhi Intl,GBP,20.0,0.09
Y,41,7,N,Ibiza,RT,London (Stansted),Stansted,82,81.76,London,IBZ,Ibiza,IBZ,STN,M,EUK,Ibiza,GBP,5.0,0.12
N,54,7,N,Innsbruck,RT,London (Heathrow),Heathrow,107,106.69,London,INN,Innsbruck (Kranebitten),INN,LHR,M,EUK,Kranebitten,GBP,5.0,0.09
N,34,7,N,Inverness,RT,London (Heathrow),Heathrow,68,67.18,London,INV,Inverness,INV,LHR,M,EUK,Inverness,GBP,5.0,0.15
Y,294,7,N,Islamabad,RT,London (Gatwick),Gatwick,587,586.18,London,ISB,Islamabad,ISB,LGW,M,SAS,Islamabad,GBP,20.0,0.07
N,62,7,N,Istanbul,RT,London (Heathrow),Heathrow,123,122.99,London,SAW,Istanbul (Sabiha Gokcen International),IST,LHR,M,EUK,Sabiha Gokcen International,GBP,10.0,0.16
N,79,7,N,Izmir,RT,London (Heathrow),Heathrow,157,156.99,London,ADB,Izmir (Adnan Menderes),IZM,LHR,M,EUK,Adnan Menderes,GBP,10.0,0.13
N,39,7,N,Jersey,RT,London (Heathrow),Heathrow,77,76.38,London,JER,Jersey,JER,LHR,M,EUK,Jersey,GBP,5.0,0.13
N,353,7,N,Johannesburg,RT,London (Heathrow),Heathrow,705,704.69,London,JNB,Johannesburg,JNB,LHR,M,AFR,Johannesburg,GBP,20.0,0.06
N,76,7,N,Kalamata,RT,London (Heathrow),Heathrow,152,151.39,London,KLX,Kalamata,KLX,LHR,M,EUK,Kalamata,GBP,10.0,0.13
N,74,7,N,Kefalonia,RT,London (Heathrow),Heathrow,148,147.69,London,EFL,Kefalonia,EFL,LHR,M,EUK,Kefalonia,GBP,10.0,0.14
N,280,7,Y,Kingston,RT,London (Gatwick),Gatwick,559,558.48,London,KIN,Kingston,KIN,LGW,M,SOA,Kingston,GBP,20.0,0.07
N,103,7,N,Kos,RT,London (Gatwick),Gatwick,205,204.88,London,KGS,Kos,KGS,LGW,M,EUK,Kos,GBP,10.0,0.1
N,44,7,N,Krakow,RT,London (Heathrow),Heathrow,87,86.09,London,KRK,Krakow,KRK,LHR,M,EUK,Krakow,GBP,5.0,0.12
N,300,7,Y,Kuala Lumpur,RT,London (Heathrow),Heathrow,599,598.29,London,KUL,Kuala Lumpur,KUL,LHR,M,FEA,Kuala Lumpur,GBP,20.0,0.07
N,222,7,N,Kuwait,RT,London (Heathrow),Heathrow,443,442.39,London,KWI,Kuwait,KWI,LHR,M,MDE,Kuwait,GBP,20.0,0.09
N,378,7,N,Lagos,RT,London (Heathrow),Heathrow,755,754.69,London,LOS,Lagos,LOS,LHR,M,AFR,Lagos,GBP,20.0,0.05
N,53,7,N,Lanzarote,RT,London (Gatwick),Gatwick,106,105.48,London,ACE,Lanzarote,ACE,LGW,M,EUK,Arrecife,GBP,10.0,0.19
N,58,7,N,Larnaca,RT,London (Gatwick),Gatwick,116,115.38,London,LCA,Larnaca,LCA,LGW,M,EUK,Larnaca,GBP,10.0,0.17
