proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code,tier_points,tier_points_per_pound
N,73,7,N,Newcastle,RT,London (Heathrow),Heathrow,146,145.92,London,NCL,Newcastle,NCL,LHR,C,EUK,Newcastle International,GBP,40.0,0.55
N,149,7,N,Tirana,RT,London (Heathrow),Heathrow,297,296.72,London,TIA,Tirana,TIA,LHR,C,EUK,Tirana,GBP,80.0,0.54
N,154,7,N,Bucharest,RT,London (Heathrow),Heathrow,307,306.82,London,OTP,Bucharest,BUH,LHR,C,EUK,Bucharest,GBP,80.0,0.52
N,154,4,N,Bucharest,RT,London (Heathrow),Heathrow,307,306.82,London,OTP,Bucharest,BUH,LHR,C,EUK,Bucharest,GBP,80.0,0.52
N,155,5,N,Bucharest,RT,London (Heathrow),Heathrow,309,308.82,London,OTP,Bucharest,BUH,LHR,C,EUK,Bucharest,GBP,80.0,0.52
N,154,1,N,Bucharest,RT,London (Heathrow),Heathrow,307,306.82,London,OTP,Bucharest,BUH,LHR,C,EUK,Bucharest,GBP,80.0,0.52
N,154,2,N,Bucharest,RT,London (Heathrow),Heathrow,307,306.82,London,OTP,Bucharest,BUH,LHR,C,EUK,Bucharest,GBP,80.0,0.52
N,154,3,N,Bucharest,RT,London (Heathrow),Heathrow,307,306.82,London,OTP,Bucharest,BUH,LHR,C,EUK,Bucharest,GBP,80.0,0.52
N,154,6,N,Bucharest,RT,London (Heathrow),Heathrow,307,306.82,London,OTP,Bucharest,BUH,LHR,C,EUK,Bucharest,GBP,80.0,0.52
N,83,7,N,Manchester,RT,London (Heathrow),Heathrow,166,165.03,London,MAN,Manchester,MAN,LHR,C,EUK,Manchester,GBP,40.0,0.48
N,92,7,N,Glasgow,RT,London (Heathrow),Heathrow,184,183.93,London,GLA,Glasgow,GLA,LHR,C,EUK,Glasgow,GBP,40.0,0.43
N,94,7,N,Belfast,RT,London (Heathrow),Heathrow,187,186.67,London,BHD,Belfast (Belfast City Airport),BFS,LHR,C,EUK,Belfast City Airport,GBP,40.0,0.43
N,92,7,N,Edinburgh,RT,London (Heathrow),Heathrow,184,183.92,London,EDI,Edinburgh,EDI,LHR,C,EUK,Edinburgh,GBP,40.0,0.43
N,99,7,N,Luxembourg,RT,London (Heathrow),Heathrow,197,196.02,London,LUX,Luxembourg,LUX,LHR,C,EUK,Luxembourg,GBP,40.0,0.41
N,99,5,N,Luxembourg,RT,London (Heathrow),Heathrow,197,196.02,London,LUX,Luxembourg,LUX,LHR,C,EUK,Luxembourg,GBP,40.0,0.41
N,99,6,N,Luxembourg,RT,London (Heathrow),Heathrow,197,196.02,London,LUX,Luxembourg,LUX,LHR,C,EUK,Luxembourg,GBP,40.0,0.41
N,98,7,N,Aberdeen,RT,London (Heathrow),Heathrow,196,195.53,London,ABZ,Aberdeen,ABZ,LHR,C,EUK,Aberdeen,GBP,40.0,0.41
N,99,3,N,Luxembourg,RT,London (Heathrow),Heathrow,197,196.02,London,LUX,Luxembourg,LUX,LHR,C,EUK,Luxembourg,GBP,40.0,0.41
